출처: http://cizz.net/pub/1583-2050-parse.txt
년도: 각 음력달의 길이 x 12개 : 해당 음력년도의 총 일수(윤달길이)     *표시는 윤달이 들어가는 달
1583 :  29  30* 29  30  29  29  30  29  30  30  30  30 : 384(29)
1584 :  29  30  29  29  30  29  29  30  29  30  30  30 : 354
1585 :  29  30  30  29  29  30  29  29  30* 30  30  29 : 383(29)
1586 :  30  30  29  30  29  30  29  29  30  29  30  29 : 354
1587 :  30  30  30  29  30  29  30  29  29  30  29  30 : 355
1588 :  29  30  30  29  30  29* 30  29  30  29  29  30 : 384(30)
1589 :  29  30  29  30  29  30  30  29  30  30  29  30 : 355
1590 :  29  29  30  29  30  29  30  30  29  30  30  29 : 354
1591 :  30  29  29* 29  29  30  29  30  30  30  30  29 : 384(30)
1592 :  30  29  29  30  29  29  30  29  30  30  30  29 : 354
1593 :  30  30  29  29  30  29  29  30  29  30  30* 30 : 384(29)
1594 :  30  29  30  29  30  29  29  30  29  30  29  30 : 354
1595 :  30  30  29  30  29  30  29  29  30  29  30  29 : 354
1596 :  30  30  29  30  30  29  30  29* 30  29  30  29 : 384(29)
1597 :  30  29  30  30  29  30  29  29  30  30  29  30 : 355
1598 :  29  30  29  30  29  30  30  29  30  29  30  30 : 355
1599 :  29  29  30  29* 30  30  29  30  30  29  30  30 : 384(29)
1600 :  29  29  30  29  29  30  29  30  30  30  29  30 : 354
1601 :  30  29  29  30  29  29  30  29  30  30  29  30 : 354
1602 :  30  30* 29  30  29  29  30  30  29  29  30  30 : 384(29)
1603 :  30  29  30  29  30  29  29  30  29  30  29  30 : 354
1604 :  30  29  30  30  29  30  29  29  30* 30  29  30 : 384(29)
1605 :  29  30  30  29  30  29  30  29  30  29  30  29 : 354
1606 :  30  29  30  29  30  30  29  30  29  30  29  30 : 355
1607 :  29  30  29  30  29  30* 30  30  29  30  29  30 : 384(29)
1608 :  29  30  29  29  30  29  30  30  30  29  30  30 : 355
1609 :  29  29  30  29  29  30  29  30  30  29  30  30 : 354
1610 :  29  30  29* 29  29  30  29  30  29  30  30  30 : 384(30)
1611 :  29  30  29  30  29  29  30  29  30  29  30  30 : 354
1612 :  30  29  30  29  30  29  29  30  29  30  29* 29 : 383(30)
1613 :  30  30  30  29  30  29  29  30  29  30  29  30 : 355
1614 :  29  30  30  29  30  29  30  29  30  29  30  29 : 354
1615 :  30  29  30  29  30  30  29  30* 30  29  30  29 : 384(29)
1616 :  30  29  29  30  30  29  30  30  29  30  29  30 : 355
1617 :  29  30  29  29  30  29  30  30  29  30  30  29 : 354
1618 :  30  29  30  29* 30  29  30  29  30  30  30  29 : 384(29)
1619 :  30  29  30  29  29  30  29  29  30  30  30  30 : 355
1620 :  29  30  29  30  29  29  30  29  29  30  30  29 : 353
1621 :  30  30* 29  30  29  29  30  29  29  30  30  29 : 384(30)
1622 :  30  30  29  30  29  30  29  30  29  30  29  30 : 355
1623 :  29  30  29  30  30  29  30  29  30  29* 29  30 : 384(30)
1624 :  29  30  29  30  29  30  30  29  30  29  30  29 : 354
1625 :  30  29  29  30  29  30  30  29  30  30  29  30 : 355
1626 :  29  30  29  29  30  29* 29  30  30  30  29  30 : 384(30)
1627 :  29  30  29  29  30  29  29  30  30  30  30  29 : 354
1628 :  30  29  30  29  29  30  29  29  30  30  29  30 : 354
1629 :  30  30  29  30* 29  30  29  29  30  30  29  30 : 384(29)
1630 :  30  30  29  30  29  29  30  29  29  30  29  30 : 354
1631 :  30  30  29  30  29  30  29  30  29  29  30* 30 : 384(29)
1632 :  30  29  30  30  29  30  29  30  29  30  29  29 : 354
1633 :  30  29  30  30  29  30  29  30  30  29  30  29 : 355
1634 :  30  29  29  30  29  30  29  30* 30  29  30  29 : 384(30)
1635 :  30  29  29  30  29  30  29  30  30  29  30  30 : 355
1636 :  29  30  29  29  30  29  29  30  30  29  30  30 : 354
1637 :  30  29  30  29* 30  29  29  30  29  30  30  30 : 384(29)
1638 :  30  29  30  29  29  30  29  29  30  29  30  30 : 354
1639 :  30  29  30  29  30  29  30  29  29  30  29  30 : 354
1640 :  30* 30  30  29  30  29  30  29  29  30  29  30 : 384(29)
1641 :  29  30  30  29  30  30  29  30  29  30  29  29 : 354
1642 :  30  29  30  29  30  30  29  30  30  29  30* 30 : 385(29)
1643 :  29  29  30  29  30  29  30  30  29  30  30  29 : 354
1644 :  30  29  29  30  29  29  30  30  29  30  30  30 : 355
1645 :  29  30  29  29  30  29* 30  29  30  30  30  30 : 384(29)
1646 :  29  30  29  29  30  29  29  30  29  30  30  30 : 354
1647 :  29  30  30  29  29  30  29  29  30  29  30  30 : 354
1648 :  29  30  30* 30  29  30  29  29  30  29  30  29 : 383(29)
1649 :  30  30  29  30  30  29  30  29  29  30  29  30 : 355
1650 :  29  30  30  29  30  29  30  30  29  30  29* 30 : 384(29)
1651 :  29  30  29  30  29  30  30  29  30  30  29  30 : 355
